programming,0,3,In what year was the specification for the COBOL language created?,1929,1942,1959,1970
programming,1,2,What was Java called before it was Java?,C++ 2.0,Oak,Maple,Snoo
programming,2,2,0xb - 0xe + 0xd?,0x9,0xa,0xb,0xc
programming,3,4,In 2010, which job did CNN.com rank as the #1 "Best Job in America"?,Computer and Information Scientist,Database Administrator,Programmer Analyst,Software Architect
programming,4,1,What is the name of the Java mascot?,Duke,Snoo,Steamy,Mr. Java
programming,5,4,Which famous computer scientist killed himself by eating a posion apple?,Donald Knuth,Bjarne Stroustrup,Robert Prim,Alan Turing
programming,6,3,What is the origin of the Python scripting language's name?,It was named after Python of Aenus a student of Plato,The creator thought it was a cool name,It was named after Monty Python's Flying Circus,The company that developed it wanted a name that explanationressed its dynamic nature and power as a scripting language
programming,7,3,Who is the creator of the JavaScript scripting language?,Larry Wall,John Ousterhout,Brendan Eich,Sergey Brin
programming,8,2,What programming language did Bjarne Stroustrup create?,Java,C++,SQL,C
programming,9,4,Who founded the "Free Software Foundation"?,Bill Gates,Linus Torvalds,Steve Jobs,Richard Stallman
usa,10,2,In which month is Labor day a national holiday.,Speptember,October,May,July
usa,11,1,Which state lies to the south of Georgia?,Florida,New Jersey,Tennessee,South Carolina
usa,12,3,Where is the Guggenheim Museum?,Ohio,Maine,New York,New Jersey
usa,13,4,In which state is Harvard University?,Delware,Vermont,New Jersey,Massachusetts.
usa,14,1,"If it's noon in Boston, what time is it New York?",noon,afternoon,evening,morning
usa,15,2,Which Gulf lies to the south of Florida?,Carribian,Mexico,Pacific,Atlantic
usa,16,3,What day in November is Veterans Day?,10th,13th,11th,15th
usa,17,4,Which Island is the smallest state of the Union?,Maryland,Connecticut,Delaware,Rhode Island
usa,18,3,What is the other main Boston newspaper along with the Herald?,Boston Times,The New Jersey Times,Globe,The New York Times
usa,19,1,Which President had a summer retreat at Kennebunkport?,George Bush,John Adams,James Monroe,Andrew Jackson
anime,20,4,One Piece: Who is the first person to join luffy's crew,Zoko,Wolo,Yoroka,Zoro
anime,21,4,Death Note: What are the 3 main characters?,Light & Lily & France,L & Night & Gary,L & Night & Misaki,Mizuki & L & Light
anime,22,2,Naruto: Who was Naruto's father?,The 3rd Hokage,Jiraiya,The 4th Hokage,Itachi Uchiha
anime,23,3,Fairy Tail: What color hair does Wendy have when she activated dragon force?,Blue,Red,Pink,White
anime,24,2,Bleach: What object does Ichigo Kurosaki use to use his full bring?,His Skin,His substitute shinigami badge,His Hair,Kon
anime,25,3,Black Clover: How many clover leafs does his spell book have?,3,4,5,6
anime,26,2,Bleach: What stuffed animal is Kon's modifed soul in?,A Dog,A Lion,A Panda,A Goat
anime,27,3,Naruto: How many tailed beast are there in the ninja world?,8,9,10,11
anime,28,2,Fairy Tail: Which flames has Natsu not eaten yet?,Flames of the God of fire,Flames of the shadow dragon,Flames of the lighting dragon,Jellal's golden flames
anime,29,1,One Piece: How many brothers does Luffy have?,3,4,5,1
science,30,4,What vitamin is produced when a person is exposed to sunlight?, A, B ,C ,D
science,31,2,Which planet in our solar system has the most oxygen?, Mars, Earth, Jupiter, Pluto 
science,32,1,What is the melting point of ice?, 32, 102, 200, 10 
science,33,2,How many planets in our solar system have moons?, None, Six, Four, All of them 
science,34,1,Which planet is farthest from the sun?, Neptune, Saturn, Pluto, Uranus
science,35,2,Which is the largest internal organ in the human body?, Stomach, Liver, Large Intestines, Heart
science,36,1,Callisto is the name of a moon orbiting which planet in our solar system?, Jupiter, Pluto, Saturn, Venus
science,37,4,Penicillin is used to fight what type of infections?, Viral, Spore-Based, Fungal, Bacterial
science,38,3,Bronze is composed of which two metals?, Tin and Iron, Copper and Iron, Copper and Tin, Iron and Magnesium
science,39,4,Cubic zirconia is notably known as the fake version of which gem?, Emerald, Ruby, Sapphire, Diamond
starwars,40,4,What planet is Luke Skywalker from?,Hoth,Dantooine,Yavin,Tatooine
starwars,41,2,Who killed Qui-Gon Jinn?,Darth Vader,Darth Maul,Darth Tyranus,Darth Sidious
starwars,42,1,Who becomes Darth Vader?,Anakin Skywalker,Obi-Wan Kenobi,Count Dooku,Sifo-Dyas
starwars,43,4,Who destorys the Second Death Star?,Luke Skywalker and R2-D2,Han Solo and Chewbacca,Princess Leia and C-3P0,Wedge Antilles and Lando Calrissian
starwars,44,3,Who was Darth Sidious's master?,Darth Malek,Darth Revan,Darth Plagueis,Darth Bane
starwars,45,4,Which Jedi was never a master?,Mace Windu,Kit Fisto,Yoda,Quinlan Vos
starwars,46,1,What squadron was Luke Skywalker in?,Rouge Squadron,Red Squadron,Ghost Squadron,Black Squadron
starwars,47,2,Who did NOT die in the Battle of Yavin?,Biggs Darklighter,Wedge Antilles,Jek Tono Porkins,All those workers on the Death Star
starwars,48,4,What color is Mace Windu's lightsaber,Blue,Yellow,Green,Purple
starwars,49,3,What species is Darth Maul?,Wookie,Human,Zabrak,Dug